City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Muleba,TZ,2022-02-02 01:03:01,-1.8397,31.6544,66.33,76,100,4.16
68,Yaan,NG,2022-02-02 01:03:01,7.3833,8.5667,75.16,17,3,1.36
69,Tondano,ID,2022-02-02 01:03:02,1.3038,124.9112,73.49,65,100,4.85
70,Saint-Augustin,CA,2022-02-02 00:57:26,51.226,-58.6502,-12.59,90,3,6.06
71,Aklavik,CA,2022-02-02 01:00:05,68.2191,-135.0107,-15.02,100,99,3.09
72,Vaini,TO,2022-02-02 01:03:03,-21.2,-175.2,87.96,70,40,10.36
73,Boffa,GN,2022-02-02 01:03:03,10.1667,-14.0333,72.32,86,6,1.3
74,Ponta Do Sol,PT,2022-02-02 01:03:04,32.6667,-17.1,69.12,38,100,13.91
75,San Rafael,AR,2022-02-02 01:01:35,-34.6177,-68.3301,84.85,33,100,7.7
76,Ilulissat,GL,2022-02-02 00:52:57,69.2167,-51.1,-2.04,87,100,5.44
77,Avera,US,2022-02-02 01:03:05,33.194,-82.5271,54.91,61,20,10.69
78,Marienburg,PL,2022-02-02 00:54:48,54.0359,19.0266,34.84,98,100,7.16
79,College,US,2022-02-02 00:55:59,64.8569,-147.8028,0.59,75,0,0.0
80,Nikolskoye,RU,2022-02-02 00:54:45,59.7035,30.7861,24.69,98,99,2.08
81,Yeppoon,AU,2022-02-02 01:03:06,-23.1333,150.7333,91.18,58,84,7.65
82,Palmer,US,2022-02-02 01:03:07,42.1584,-72.3287,31.55,72,75,0.0
83,Syedove,UA,2022-02-02 01:03:07,47.0768,38.156,35.01,96,100,7.47
84,Victoria,HK,2022-02-02 01:03:08,22.2855,114.1577,60.94,94,100,1.01
85,Pochutla,MX,2022-02-02 00:54:47,15.7432,-96.4661,79.83,71,0,6.91
86,Recco,IT,2022-02-02 01:03:08,44.3623,9.1435,48.63,46,4,5.35
87,Yellowknife,CA,2022-02-02 00:53:29,62.456,-114.3525,-26.45,87,0,6.91
88,Muisne,EC,2022-02-02 01:03:09,0.6,-80.0333,77.02,82,100,3.56
89,Husavik,IS,2022-02-02 01:03:09,66.0449,-17.3389,12.56,82,87,11.52
90,Saint-Philippe,RE,2022-02-02 01:03:10,-21.3585,55.7679,81.95,92,100,23.71
91,Barra Patuca,HN,2022-02-02 01:04:11,15.8,-84.2833,75.61,83,0,8.39
92,Margate,GB,2022-02-02 01:01:27,51.3813,1.3862,51.04,79,100,7.0
93,Augustow,PL,2022-02-02 01:04:11,53.8432,22.9798,28.98,97,100,10.58
94,Yulara,AU,2022-02-02 01:04:12,-25.2406,130.9889,67.84,94,100,14.97
95,Gulabpura,IN,2022-02-02 01:04:12,25.9,74.6667,57.34,64,0,2.44
96,Arraial Do Cabo,BR,2022-02-02 01:04:13,-22.9661,-42.0278,76.19,89,100,11.48
97,Okato,NZ,2022-02-02 01:04:13,-39.2,173.8833,76.91,70,100,17.25
98,Puerto Ayora,EC,2022-02-02 01:04:14,-0.7393,-90.3518,75.54,95,100,1.99
99,Mar Del Plata,AR,2022-02-02 01:00:08,-38.0023,-57.5575,72.09,78,12,3.0
100,Kloulklubed,PW,2022-02-02 01:04:14,7.0419,134.2556,84.7,75,100,20.71
101,Caravelas,BR,2022-02-02 01:04:15,-17.7125,-39.2481,76.53,93,26,7.61
102,Tilichiki,RU,2022-02-02 01:04:15,60.4667,166.1,15.12,92,100,8.46
103,Nouadhibou,MR,2022-02-02 01:04:16,20.931,-17.0347,69.28,62,87,9.71
104,Makakilo City,US,2022-02-02 01:04:16,21.3469,-158.0858,82.72,54,40,9.22
105,Tasiilaq,GL,2022-02-02 01:03:11,65.6145,-37.6368,12.36,74,100,4.74
106,Taltal,CL,2022-02-02 00:54:21,-25.4,-70.4833,66.34,78,0,3.24
107,Dezhou,CN,2022-02-02 01:00:23,37.4486,116.2925,30.04,30,0,3.42
108,Esperance,AU,2022-02-02 01:04:17,-33.8667,121.9,67.53,51,30,17.0
109,West Wendover,US,2022-02-02 01:04:18,40.7391,-114.0733,27.46,39,14,4.14
110,Severo-Kurilsk,RU,2022-02-02 00:54:36,50.6789,156.125,30.69,76,99,11.14
111,Shingu,JP,2022-02-02 01:04:18,33.7333,135.9833,43.92,43,4,4.74
112,Banda Aceh,ID,2022-02-02 01:04:19,5.5577,95.3222,78.64,75,8,3.31
113,Adrar,MR,2022-02-02 01:04:20,20.5022,-10.0711,69.13,18,98,10.16
114,Benjamin Hill,MX,2022-02-02 01:04:22,30.1667,-111.1,64.17,26,100,11.5
