City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Altoona,US,27.61,few clouds,40.5187,-78.3947,Wingate by Wyndham Altoona Downtown/Medical Center
303,Corinto,GR,46.89,clear sky,37.9407,22.9573,Ephira Hotel
308,Hunchun,CN,21.94,scattered clouds,42.8675,130.3581,International Hotel
309,Kushima,JP,44.64,overcast clouds,31.4583,131.2333,Hanaoka
311,Kenai,US,27.03,light snow,60.5544,-151.2583,Aspen Extended Stay Suites
312,Fort Nelson,CA,4.59,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
314,Nantucket,US,40.08,broken clouds,41.2835,-70.0995,Jared Coffin House
315,Hachinohe,JP,32.83,clear sky,40.5,141.5,Hachinohe Grand Hotel
319,Narsaq,GL,1.62,few clouds,60.9167,-46.05,Sleep In Narsaq
320,Manzil Salim,TN,37.4,clear sky,35.8567,8.4765,mohamed ben khlil omri
325,Ust-Kulom,RU,5.7,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
327,Zell Am See,AT,37.71,clear sky,47.3256,12.7944,Hotel Berner Zell am See
328,Shenjiamen,CN,46.09,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
330,Alaca,TR,34.27,light snow,40.1683,34.8425,يلدز محلا
331,Saint-Francois,FR,32.41,clear sky,46.4154,3.9054,Manoir Du Bonheur
337,Tatawin,TN,45.48,broken clouds,32.9297,10.4518,Sangho Privilege Tataouine
342,Erzin,TR,48.72,broken clouds,36.9559,36.2,Artemis Otel
345,Vardo,NO,26.74,broken clouds,70.3705,31.1107,Vardø Hotel AS
346,Severo-Kurilsk,RU,30.87,light snow,50.6789,156.125,Kak Doma
347,Kawasaki,JP,46.22,scattered clouds,35.5206,139.7172,Toyoko INN Kawasaki-Ekimae Shiyakusho-dori
349,Storsteinnes,NO,32.0,light snow,69.2408,19.2344,Tingvoll
351,Honningsvag,NO,28.4,overcast clouds,70.9821,25.9704,Nordkapp Vandrerhjem
354,Altay,CN,4.17,overcast clouds,47.8667,88.1167,Jinqiao Hotel
355,Nushki,PK,46.33,clear sky,29.5542,66.0215,Shams hotel
360,Haines Junction,CA,40.95,few clouds,60.7522,-137.5108,Parkside Inn
366,Milledgeville,US,48.47,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
372,Johnstown,US,30.15,few clouds,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
373,Changji,CN,3.99,mist,44.0167,87.3167,Lvye Holiday Resort
376,Rockland,US,35.83,clear sky,41.1668,-74.0496,National Camp Association
377,Shulan,CN,17.46,few clouds,44.4167,126.95,Shulan Hotel
378,Havoysund,NO,27.48,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
387,Juneau,US,43.21,light rain,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
392,Sitka,US,42.69,light rain,57.0531,-135.33,Westmark Sitka
402,Wielun,PL,41.9,overcast clouds,51.221,18.5696,Zajazd Boryna
403,Linjiang,CN,16.74,clear sky,41.8069,126.9078,格林豪泰
406,Xiongzhou,CN,42.76,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
409,Merrill,US,30.58,clear sky,45.1805,-89.6835,Prairie Motel
411,Nemuro,JP,23.43,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
425,Baffa,PK,44.2,overcast clouds,34.4378,73.2194,Kisan veternary store Baffa
426,Tazmalt,DZ,46.13,clear sky,36.3868,4.3989,Hôtel Numédia
432,Margate,GB,49.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
435,Greenwood,US,46.87,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
440,Chukhloma,RU,26.47,light snow,58.7525,42.6825,Berezka
442,Vestmannaeyjar,IS,35.78,overcast clouds,63.4427,-20.2734,Glamping & Camping
444,Qaqortoq,GL,1.9,clear sky,60.7167,-46.0333,Siniffik Inn
446,Hyeres,FR,45.73,clear sky,43.1167,6.1167,Hôtel des Palmiers
448,Varhaug,NO,44.89,overcast clouds,58.6147,5.6457,Jonas Bue
449,Aksu,CN,27.54,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
451,Bolu,TR,30.85,light snow,40.6667,31.5833,Sefa Green Hotel
453,Crotone,IT,39.29,clear sky,39.0851,17.1178,Helios Hotel
455,Nassau,US,37.06,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
460,Broome,US,27.37,overcast clouds,42.2506,-75.833,Chenango Valley State Park
463,Saint Anthony,US,39.34,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
472,Galda De Jos,RO,32.45,overcast clouds,46.1833,23.6167,Moara Veche
475,Brae,GB,40.91,overcast clouds,60.3964,-1.353,Busta House Hotel
478,College,US,6.75,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
479,Montpellier,FR,38.68,broken clouds,43.6109,3.8772,Hôtel des Arts Comédie
482,Lashio,MM,47.95,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
483,Andenes,NO,31.98,scattered clouds,69.3143,16.1194,Hotell Marena
490,Lenoir,US,42.91,clear sky,35.2335,-77.6497,"Holiday Inn Express & Suites Kinston, an IHG Hotel"
491,Sioux Lookout,CA,28.78,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
494,Kerrobert,CA,35.8,scattered clouds,51.9168,-109.1348,"Motel 6 Kerrobert, SK"
496,Iisalmi,FI,26.62,overcast clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
499,Jimo,CN,28.18,mist,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
500,Oga,IT,38.48,clear sky,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
503,Sept-Iles,CA,24.06,overcast clouds,50.2001,-66.3821,Comfort Inn
505,Erenhot,CN,9.73,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
509,Gimli,CA,35.44,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
513,Brunswick,US,27.25,clear sky,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
515,Laurinburg,US,44.02,clear sky,34.7741,-79.4628,"Holiday Inn Express & Suites Laurinburg, an IHG Hotel"
516,Cuiluan,CN,11.05,overcast clouds,47.72,128.648,Shuncheng Hotel
518,Pizhanka,RU,20.1,light snow,57.4604,48.542,Gostinitsa
521,Landeck,AT,38.32,clear sky,47.1301,10.5636,Hotel Jägerhof
522,Omidiyeh,IR,47.95,clear sky,30.7597,49.705,Royal Complex
530,La Ronge,CA,14.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
533,Linkoping,SE,37.38,overcast clouds,58.4109,15.6216,Elite Stora Hotellet
537,Berlevag,NO,22.95,overcast clouds,70.8578,29.0864,Kvitbrakka
539,Hazorasp,UZ,31.84,overcast clouds,41.3194,61.0742,Kemping wifi hotel
541,Caraquet,CA,32.54,snow,47.7941,-64.9386,Gite Le Poirier
544,Grafton,US,36.55,overcast clouds,42.207,-71.6856,The Grafton Inn
547,Carbonia,IT,39.0,clear sky,39.1672,8.5222,Lu 'Hotel
549,Usak,TR,32.7,light snow,38.5,29.4167,Bekdemir Koyu Muhtarligi
550,Rorvik,NO,40.26,light rain,64.8621,11.2373,Kysthotellet Rørvik AS
